"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bermuda","BMU","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.34","19.16","19.15","18.92","18.92","18.4","18.32","18.15","18.7","18.45","19.9","24.13","39.96","22.26","22.24","","",
"Bolivia","BOL","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.73","9.96","9.67","9.61","9.61","9.6","9.51","9.23","9.27","9.87","9.08","7.76","7.19","6.48","6.21","6.22","7.5","9.76","9.09","9.29","9.93","10.04","10.05","10.05","10.33","9.95","9.95","9.95","9.83","","",
"Brazil","BRA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.92","33.5","27.53","23.45","15.73","14.46","13.23","14.8","14.42","17.15","15.89","16.7","15","14.73","14.39","13.18","12.29","12.1","12.15","13.08","13.32","13.34","13.47","13.75","14.81","13.74","13.66","13.56","13.41","13.46","13.43","13.55","13.2","","",
"Barbados","BRB","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.21","","","21.21","21.23","16.3","16.22","16.43","15.93","","15","15.13","","","13.81","13.78","12.04","12.55","","","","","","","10.18","9.53","","",
"Brunei Darussalam","BRN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.94","","","","4.04","4.03","4.01","3.79","3.66","3.6","3.24","3.14","3.15","3.26","3.31","3.33","3.05","2.69","3.81","2.22","","","1.2","","1.21","0.15","0.16","0.15","0.15","0.12","","",
"Bhutan","BTN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.49","","","","","","17.71","","22.16","22.15","","11.1","","","","","","","","12.18","","","","8.13","7.63","4.06","","",
"Botswana","BWA","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.15","7.94","","7.2","7.34","7.32","7.27","7.24","7.04","7.77","7.31","7.01","4.59","7.03","7.61","8.34","4.07","3.21","8.19","7.69","7.79","","",
"Central African Republic","CAF","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.24","","17.47","","","","18.93","18.94","24.52","24.52","22.16","24.53","17.43","17.39","17.39","17.39","16.96","18.52","15.97","","15.99","15.99","15.99","","","","","","",
"Canada","CAN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.66","","","","8.92","","9.28","7.82","6.74","5.16","5.05","4.72","5.17","4.82","6.38","4.28","4.29","4.16","4.14","4.14","4.08","3.43","3.37","3.23","3.07","3.06","3.14","2.95","1.99","1.99","2.1","1.87","2.06","","",
"Central Europe and the Baltics","CEB","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
