Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","EGY","Égypte","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","1710320","I","Valeur imputée",""
"QCL","Cultures et produits animaux","SLV","El Salvador","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","18375","E","Valeur estimée",""
"QCL","Cultures et produits animaux","SLV","El Salvador","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","124297","E","Valeur estimée",""
"QCL","Cultures et produits animaux","ARE","Émirats arabes unis","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","26282","I","Valeur imputée",""
"QCL","Cultures et produits animaux","ARE","Émirats arabes unis","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","44266","I","Valeur imputée",""
"QCL","Cultures et produits animaux","ECU","Équateur","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","171110","I","Valeur imputée",""
"QCL","Cultures et produits animaux","ECU","Équateur","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","244616","E","Valeur estimée",""
"QCL","Cultures et produits animaux","ERI","Érythrée","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","1161","E","Valeur estimée",""
"QCL","Cultures et produits animaux","ERI","Érythrée","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","1501","E","Valeur estimée",""
"QCL","Cultures et produits animaux","ESP","Espagne","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","696489","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","EST","Estonie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","2092","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","SWZ","Eswatini","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","3640","I","Valeur imputée",""
"QCL","Cultures et produits animaux","SWZ","Eswatini","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","5630","E","Valeur estimée",""
"QCL","Cultures et produits animaux","USA","États-Unis d'Amérique","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","1528000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","USA","États-Unis d'Amérique","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","9545720","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","ETH","Éthiopie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","41960","I","Valeur imputée",""
"QCL","Cultures et produits animaux","ETH","Éthiopie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","61694","I","Valeur imputée",""
"QCL","Cultures et produits animaux","RUS","Fédération de Russie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","488236","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","RUS","Fédération de Russie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","2529742","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","FJI","Fidji","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","5702","I","Valeur imputée",""
"QCL","Cultures et produits animaux","FJI","Fidji","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","13599","I","Valeur imputée",""
"QCL","Cultures et produits animaux","FIN","Finlande","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","13364","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","FIN","Finlande","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","81278","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","FRA","France","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","231096","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","FRA","France","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","734321","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","GAB","Gabon","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","3365","I","Valeur imputée",""
"QCL","Cultures et produits animaux","GAB","Gabon","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","5177","I","Valeur imputée",""
"QCL","Cultures et produits animaux","GMB","Gambie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","1005","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","GMB","Gambie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","1248","E","Valeur estimée",""
"QCL","Cultures et produits animaux","GEO","Géorgie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","9092","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","GEO","Géorgie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","15363","I","Valeur imputée",""
"QCL","Cultures et produits animaux","GHA","Ghana","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","88666","I","Valeur imputée",""
"QCL","Cultures et produits animaux","GHA","Ghana","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","91049","I","Valeur imputée",""
"QCL","Cultures et produits animaux","GRC","Grèce","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","147097","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","GRD","Grenade","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","269","I","Valeur imputée",""
"QCL","Cultures et produits animaux","GRD","Grenade","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","371","E","Valeur estimée",""
"QCL","Cultures et produits animaux","GTM","Guatemala","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","47000","E","Valeur estimée",""
