Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","CHN","Chine, continentale","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","23400","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CHN","Chine, continentale","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","1316","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","TWN","Chine, Taiwan Province de","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","770","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","TWN","Chine, Taiwan Province de","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","218","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CYP","Chypre","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","27","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CYP","Chypre","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","18","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","COL","Colombie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1820","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","COL","Colombie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","81","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","COM","Comores","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","COM","Comores","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","14","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","COG","Congo","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","7","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","COG","Congo","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","158","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CRI","Costa Rica","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","152","I","Valeur imputée",""
