Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","AZE","Azerbaïdjan","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","5779.351","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHS","Bahamas","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","407.906","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHS","Bahamas","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","68.295","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHS","Bahamas","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","342.261","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHR","Bahreïn","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","1463.265","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHR","Bahreïn","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","181.021","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BHR","Bahreïn","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","1563.274","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGD","Bangladesh","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","169356.251","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGD","Bangladesh","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","104707.739","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGD","Bangladesh","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","66791.896","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRB","Barbade","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","281.2","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRB","Barbade","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","198.059","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRB","Barbade","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","90.012","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLR","Bélarus","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","9578.167","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLR","Bélarus","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","1887.9","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLR","Bélarus","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","7509.15","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEL","Belgique","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","11611.419","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEL","Belgique","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","219.756","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEL","Belgique","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","11449.399","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLZ","Belize","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","400.031","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLZ","Belize","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","218.296","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLZ","Belize","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","187.469","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEN","Bénin","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","12996.895","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEN","Bénin","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","6352.738","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEN","Bénin","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","6096.875","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BMU","Bermudes","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","64.185","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BMU","Bermudes","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BMU","Bermudes","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","60.472","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BTN","Bhoutan","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","777.486","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BTN","Bhoutan","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","481.101","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BTN","Bhoutan","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","363.051","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BOL","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","12079.472","X","Ciffre de sources internationales",""
